,logFC,AveExpr,t,P.Value,adj.P.Val,B
FXYD1,10.2013380441192,9.75431674724082,52.7332053608323,5.43780373331903e-29,1.126548773431e-28,55.8747849758038
PACS1,8.90222669762997,8.9142133068562,52.7118777416325,5.49756215415488e-29,1.13881582424763e-28,55.8647586449447
PATL2,9.00974060080155,8.53567529430802,52.7094034958835,5.50453873022589e-29,1.1401478056987e-28,55.86359515964
PMAIP1,8.68929369000517,8.76681209927985,52.7037287504885,5.52057435946511e-29,1.14335572607129e-28,55.8609264274206
CD151,9.29232037120144,9.38623638032389,52.6949644031082,5.54543573583249e-29,1.14839071194101e-28,55.8568040281537
TRPM4,8.66996801966296,8.88189841573557,52.6895722405121,5.56078903296319e-29,1.15145588889011e-28,55.8542673585831
EEFSEC,8.13517204368746,8.19724797587112,52.6892911404287,5.56159062634643e-29,1.15150757886899e-28,55.8541351102737
NCKAP5L,7.76401857286976,7.68645906485673,52.6864908829114,5.5695824653868e-29,1.15304782567133e-28,55.8528176350331
ZNF431,8.48644247860159,8.49650811299087,52.6789100116801,5.59127778845153e-29,1.15742446142762e-28,55.8492505350705
LPXN,9.59860516722667,9.8469900454235,52.6696996905083,5.61775424556936e-29,1.16278985088866e-28,55.8449158802889
NRM,8.11541915771048,8.04873322016788,52.6649855348828,5.63135603346456e-29,1.16548957906883e-28,55.8426969024121
HAUS6,8.82176703986554,8.72720017120604,52.664587814182,5.63250513997114e-29,1.16561176698818e-28,55.8425096822136
ZNF276,7.41662544455486,7.5312242158913,52.6624168340839,5.63878188516981e-29,1.16679495822667e-28,55.8414877004748
CDYL2,7.66516890887763,7.52164870054401,52.6535854887757,5.66438991458512e-29,1.17197760981925e-28,55.8373298493234
ATG4C,8.06435928858417,8.02472252894712,52.6229662732683,5.75411288744048e-29,1.19042347340126e-28,55.8229076137473
PPM1E,9.34088221784291,9.35483437570794,52.6213511740248,5.75888628397233e-29,1.19129286719118e-28,55.8221465898943
C15orf62,7.38123978148629,7.3990617888401,52.6028881783811,5.81374583091038e-29,1.20252196633405e-28,55.8134449472752
PPIG,10.4913855104984,10.5187646526276,52.5947532153769,5.83808905780163e-29,1.20743743356655e-28,55.8096097547992
PSG9,6.47290580075523,6.80982210747402,52.5861069678593,5.86407808957477e-29,1.21269227899196e-28,55.8055327346151
ITGBL1,7.22755134789437,7.25219358687469,52.5829527764881,5.87358883125456e-29,1.21453870747976e-28,55.80404521727
SPOCK2,7.9945255708775,8.12106858157459,52.5716333873364,5.90785167991947e-29,1.22150249500971e-28,55.7987061041725
HMMR,6.99723253002024,7.07036416609221,52.5701623096527,5.91231969362643e-29,1.22230515755063e-28,55.7980121265266
ZNF354B,6.81739834409445,6.9902562485084,52.5638679716921,5.93147668130587e-29,1.22614413917363e-28,55.7950425218621
NUSAP1,7.50864621436927,7.77904778910569,52.5447237476126,5.99013898383578e-29,1.2381480182382e-28,55.7860078339267
SEZ6L2,7.70007928624253,7.90425814808918,52.5174079749901,6.07488369431852e-29,1.25554015881586e-28,55.7731098889076
POPDC2,6.71126716922263,6.87660722534019,52.5170846837376,6.07589408245686e-29,1.25562458987831e-28,55.772957188988
RFPL3,6.63546352641754,6.76846372424419,52.5069300867815,6.1077192373299e-29,1.2620764533397e-28,55.7681602984857
SLC35E1,11.818402944772,12.1399575482769,52.4946049078008,6.14657935964774e-29,1.26998057443767e-28,55.7623365517733
ITGAL,8.55832519154692,8.54871911738362,52.4896027949916,6.16242356117482e-29,1.27312814748692e-28,55.7599725425745
SMC5,9.40296808623044,9.45051793891136,52.4889128258079,6.16461235922629e-29,1.27345423347043e-28,55.7596464403424
KAT2B,9.15240921457629,9.13006040810223,52.4701939851161,6.2243028287811e-29,1.28565748132704e-28,55.7507973247733
LINC01770,7.85080164529855,7.76459740646924,52.4667379748668,6.23538866212412e-29,1.28781980268521e-28,55.7491631195789
MIR34AHG,8.75072192849859,8.88065004374803,52.4416625796719,6.31643823064299e-29,1.30443015608468e-28,55.7373021074019
ADPRHL1,8.40567005981422,8.36269672810876,52.4345374418215,6.33966697117884e-29,1.3090976180613e-28,55.7339305701637
GPX2,9.51287013858529,11.0031824439685,52.4261976474516,6.36696811647487e-29,1.31460499649544e-28,55.729983569143
FER1L4,7.99928523877055,7.97574066035458,52.4245805721775,6.3722758603398e-29,1.31557069765867e-28,55.7292181631759
CCNB2,7.6826980305137,7.91680566201734,52.4166059108799,6.39851832429716e-29,1.32085780013346e-28,55.7254431215372
TMEM86B,7.43172826118548,7.37064142496809,52.4091614202947,6.4231172200916e-29,1.32580460518008e-28,55.7219184270561
